LISTING_NEIGHBOURHOOD,MONTH_YEAR,TOTAL_LISTINGS,ACTIVE_LISTINGS_RATE,TRUE_MIN_PRICE_ACTIVE_LISTINGS,TRUE_MAX_PRICE_ACTIVE_LISTINGS,TRUE_AVG_PRICE_ACTIVE_LISTINGS,TRUE_MEDIAN_PRICE_ACTIVE_LISTINGS,TOTAL_DISTINCT_HOSTS,TOTAL_SUPERHOST_COUNT,TRUE_AVG_REVIEW_SCORE_RATING,PERCENTAGE_CHANGE_ACTIVE,PERCENTAGE_CHANGE_INACTIVE,TOTAL_NUMBER_OF_STAYS,AVG_REV
inner west,03_2021,2158,100.000000,17,9021,169.393348,126.000,1805,266,89.871087,-1%,,51402,3596.897590
inner west,04_2021,2123,99.481865,17,9021,175.342969,132.000,1761,266,90.011063,-2%,,51027,3736.311352
inner west,05_2020,2443,100.000000,15,9022,921.920301,208.000,2010,315,89.252542,16%,-100%,54280,3745.191158
inner west,06_2020,2415,100.000000,14,9021,968.357749,220.000,1971,300,89.793932,-1%,,53850,3836.463768
inner west,07_2020,2318,100.000000,14,9020,958.467802,204.000,1923,298,89.839593,-4%,,52287,3825.835203
inner west,08_2020,2049,100.000000,17,9021,230.647710,118.000,1700,276,89.872045,-12%,,43961,3126.442167
inner west,09_2020,2299,100.000000,17,9021,223.191234,120.000,1901,288,89.725933,12%,,50932,3249.353197
inner west,10_2020,2260,100.000000,16,9021,222.129436,118.000,1878,286,89.909548,-2%,,52388,3478.676991
inner west,11_2020,2258,100.000000,17,9021,153.751825,113.000,1874,280,89.787240,0%,,50866,3331.626661
inner west,12_2020,2229,100.000000,17,9021,173.397162,129.000,1866,280,89.547301,-1%,,53946,3710.881561
lane cove,01_2021,289,100.000000,25,2200,154.251233,130.000,218,26,89.182749,,,5778,4491.366782
lane cove,02_2021,284,100.000000,25,2200,160.670477,148.000,217,26,88.566540,-2%,,5291,4462.401408
lane cove,03_2021,282,100.000000,25,2000,160.719569,137.000,215,26,88.000648,-1%,,5416,4613.223404
lane cove,04_2021,273,99.633700,25,2000,166.015879,147.000,207,24,87.376474,-4%,,5582,4915.673993
lane cove,05_2020,316,100.000000,35,3000,550.661444,150.000,249,28,92.475657,16%,-100%,5475,4419.930380
lane cove,06_2020,312,100.000000,34,3000,545.386032,151.000,244,29,92.468652,-1%,,5682,4369.365385
lane cove,07_2020,323,100.000000,25,3000,853.343691,185.000,244,29,91.725727,4%,,5830,4376.123839
lane cove,08_2020,275,100.000000,32,2073,214.138949,118.000,203,28,91.200931,-15%,,4697,3887.901818
lane cove,09_2020,301,100.000000,25,2069,152.825000,129.000,229,29,90.034405,9%,,5529,4042.714286
lane cove,10_2020,302,100.000000,25,2078,146.737798,126.000,227,29,90.850944,0%,,5934,4186.072848
lane cove,11_2020,296,100.000000,25,2750,147.335044,120.000,227,30,87.866836,-2%,,5493,4290.675676
lane cove,12_2020,291,100.000000,25,2750,183.321558,130.000,221,28,88.981392,-2%,,5909,4917.360825
liverpool,01_2021,141,100.000000,24,750,189.884973,175.000,107,22,93.183114,,,2082,1622.773050
liverpool,02_2021,138,100.000000,24,750,193.069567,147.000,106,22,93.131501,-2%,,1940,1598.963768
liverpool,03_2021,136,100.000000,24,750,241.762781,219.000,104,21,91.339373,-1%,,2183,1935.220588
liverpool,04_2021,122,100.000000,24,750,213.295370,191.000,94,17,90.676711,-10%,,2112,2127.540984
liverpool,05_2020,154,100.000000,15,586,142.655090,128.000,113,24,90.767852,26%,,2243,1766.337662
liverpool,06_2020,148,100.000000,14,550,142.262522,125.000,112,23,91.360000,-4%,,2263,1660.222973
liverpool,07_2020,155,100.000000,16,2164,1585.472051,2164.000,106,21,91.807929,5%,,2172,2708.264516
liverpool,08_2020,143,100.000000,29,530,136.185363,125.000,106,22,92.480769,-8%,,1764,1288.433566
liverpool,09_2020,137,100.000000,24,522,139.870283,127.000,102,22,92.761666,-4%,,1881,1404.291971
liverpool,10_2020,131,100.000000,24,9999,167.741276,126.000,105,23,92.572905,-4%,,2105,3936.954198
liverpool,11_2020,132,100.000000,24,9999,151.079021,124.000,108,25,93.238186,1%,,2084,3820.840909
